VMV_Code,National_Variable_Code,Variable_Common_Name,Variable_Common_Name_fr,variable_type,Variable_type_fr,measurement_unit,description,Description_fr,National_Method_Code,Method_Title,Method_Title_fr
1071,10213,COLOUR TOTAL ABSORBANCE,COULEUR ABSORBANCE TOTALE,PHYSICAL,PHYSIQUE,SWU,,,10054,BC MELP EMS CODE: 1320,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  1320
1072,716,ORTHOPHOSPHORUS DISSOLVED,ORTHOPHOSPHORE DISSOUS,PHOSPHORUS,PHOSPHORE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10058,BC MELP EMS CODE: 1380,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  1380
1075,687,PH,PH,PHYSICAL,PHYSIQUE,PH,PH UNIT,UNIT PH,10071,BC MELP EMS CODE: 5065,
1076,10214,PH (RAIN),PH (PLUIE),PHYSICAL,PHYSIQUE,PH,PH UNIT,UNIT PH,10071,BC MELP EMS CODE: 5065,
1089,10213,COLOUR TOTAL ABSORBANCE,COULEUR ABSORBANCE TOTALE,PHYSICAL,PHYSIQUE,SWU,,,10124,BC MELP EMS CODE: X010,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X10
1093,745,RESIDUE FILTERABLE,RSIDUS FILTRABLES,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10130,BC MELP EMS CODE: X017,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X017
1098,750,RESIDUE TOTAL,RSIDUS TOTAUX,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10147,BC MELP EMS CODE: X042,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X042
1099,612,NITROGEN NITRITE,AZOTE NITRITES,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10168,BC MELP EMS CODE: X081,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X081
1100,628,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10169,BC MELP EMS CODE: X082,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X082
1101,443,COLOUR TRUE,COULEUR VRAIE,PHYSICAL,PHYSIQUE,COLOUR U,COLOUR UNIT,UNIT DE COULEUR,10179,BC MELP EMS CODE: X106,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X106
1103,532,FLUORIDE DISSOLVED,FLUORURE DISSOUS,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10193,BC MELP EMS CODE: X143,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X143
1104,604,AMMONIA DISSOLVED,AZOTE AMMONIACAL DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10199,BC MELP EMS CODE: X154,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X154
1105,2727,SULPHUR TOTAL,SOUFRE TOTAL,SULPHUR,SOUFRE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10204,BC MELP EMS CODE: X170,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X170
1106,487,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,CARBON,CARBONE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10226,BC MELP EMS CODE: X257,
1109,604,AMMONIA DISSOLVED,AZOTE AMMONIACAL DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10249,BC MELP EMS CODE: X326,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X326
1110,628,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10251,BC MELP EMS CODE: X328,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X328
1111,687,PH,PH,PHYSICAL,PHYSIQUE,PH,PH UNIT,UNIT PH,10253,BC MELP EMS CODE: X330,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  X330
1115,615,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10273,DISSOLVED ORGANIC NITROGEN IS CALCULATED FROM DISSOLVED NITROGEN.,LAZOTE ORGANIQUE DISSOUS EST CALCUL  PARTIR DE L'AZOTE DISSOUS.
1117,626,NITROGEN KJELDAHL TOTAL,AZOTE KJELDAHL TOTAL,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10273,DISSOLVED ORGANIC NITROGEN IS CALCULATED FROM DISSOLVED NITROGEN.,LAZOTE ORGANIQUE DISSOUS EST CALCUL  PARTIR DE L'AZOTE DISSOUS.
1120,625,NITROGEN KJELDAHL DISSOLVED,AZOTE KJELDAHL DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10273,DISSOLVED ORGANIC NITROGEN IS CALCULATED FROM DISSOLVED NITROGEN.,LAZOTE ORGANIQUE DISSOUS EST CALCUL  PARTIR DE L'AZOTE DISSOUS.
1125,840,TEMPERATURE (WATER),TEMPRATURE (EAU),PHYSICAL,PHYSIQUE,DEG C,DEGREE CELSIUS,DEGR CELSIUS,10282,BC MELP EMS CODE: XM02,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  XM02
1126,817,SPECIFIC CONDUCTANCE,CONDUCTANCE SPCIFIQUE,PHYSICAL,PHYSIQUE,S/CM,MICROSIEMENS PER CENTIMETER,MICROSIEMENS PAR CENTIMTRE,10285,BC MELP EMS CODE: XM10,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  XM10
1128,10213,COLOUR TOTAL ABSORBANCE,COULEUR ABSORBANCE TOTALE,PHYSICAL,PHYSIQUE,TAC UNIT,TOTAL ABSORBANCE COLOUR UNIT,UNIT COULEUR ABSORBANCE TOTALE,10287,BC MELP EMS CODE: XM14,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE: : XM14
1130,635,NITROGEN TOTAL,AZOTE TOTAL,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10298,"TOTAL NITROGEN ANALYSIS IN BIOTA, WATER AND SEDIMENT BY COLOURIMETRIC, AUTOMATED, PERSULPHATE DIGEST, CADMIUM/COPPER REDUCTION METHOD.","ANALYSE DE LAZOTE TOTAL DANS LE BIOTE, LEAU ET LES SDIMENTS PAR COLORIMTRIE, AUTOMATISE, DIGESTION AU PERSULFATE, MTHODE DE RDUCTION AU CADMIUM/CUIVRE."
1131,364,ALKALINITY TOTAL CACO3,ALCALINIT TOTALE CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10299,ALKALINITY BY SINGLE POTENTIOMETRIC TITRATION.,ALCALINIT PAR TITRAGE POTENTIOMTRIQUE SIMPLE
1132,366,ALKALINITY PHENOLPHTHALEIN CACO3,ALCALINIT PHNOLPHTALINE CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10299,ALKALINITY BY SINGLE POTENTIOMETRIC TITRATION.,ALCALINIT PAR TITRAGE POTENTIOMTRIQUE SIMPLE
1139,601,SODIUM EXTRACTABLE,SODIUM EXTRACTIBLE,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10301,BC MELP EMS CODE: F055 NO PRESERVATION/NO FILTRATION/NO DIGESTION: ICP SHORTCUT.,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F055 ICP RAPIDE SANS PRSERVATION/SANS FILTRATION/SANS DIGESTION.
1140,2736,SILICON EXTRACTABLE,SILICIUM EXTRACTIBLE,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10301,BC MELP EMS CODE: F055 NO PRESERVATION/NO FILTRATION/NO DIGESTION: ICP SHORTCUT.,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F055 ICP RAPIDE SANS PRSERVATION/SANS FILTRATION/SANS DIGESTION.
1141,583,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNSIUM EXTRACTIBLE/NON FILTR,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10301,BC MELP EMS CODE: F055 NO PRESERVATION/NO FILTRATION/NO DIGESTION: ICP SHORTCUT.,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F055 ICP RAPIDE SANS PRSERVATION/SANS FILTRATION/SANS DIGESTION.
1142,566,POTASSIUM EXTRACTABLE,POTASSIUM EXTRACTIBLE,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10301,BC MELP EMS CODE: F055 NO PRESERVATION/NO FILTRATION/NO DIGESTION: ICP SHORTCUT.,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F055 ICP RAPIDE SANS PRSERVATION/SANS FILTRATION/SANS DIGESTION.
1143,406,CALCIUM  EXTRACTABLE/UNFILTERED,CALCIUM EXTRACTIBLE/NON FILTR,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10301,BC MELP EMS CODE: F055 NO PRESERVATION/NO FILTRATION/NO DIGESTION: ICP SHORTCUT.,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F055 ICP RAPIDE SANS PRSERVATION/SANS FILTRATION/SANS DIGESTION.
1145,749,RESIDUE NONFILTERABLE,RSIDUS NON-FILTRABLES,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10310,"BC MELP EMS CODE: F042 WHOLE BOTTLE, GRAVIMETRIC, WHOLE BOTTLE, 1.2 M GF FILTER, 103-5 DEGREES C.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F042 BOUTEILLE COMPLTE, GRAVIMTRIE, BOUTEILLE COMPLTE, FILTRE GF 1,2 M, 103-5 DEGRS C"
1175,789,SILICON DISSOLVED,SILICIUM DISSOUS,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10320,"BC MELP EMS CODE: F039  FIELD FILTERED, ACID, ICP-AES.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F039  FILTRATION SUR LE TERRAIN, ACIDE, ICP-AES."
1178,600,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTR,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10320,"BC MELP EMS CODE: F039  FIELD FILTERED, ACID, ICP-AES.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F039  FILTRATION SUR LE TERRAIN, ACIDE, ICP-AES."
1179,581,MAGNESIUM DISSOLVED,MAGNSIUM DISSOUS,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10320,"BC MELP EMS CODE: F039  FIELD FILTERED, ACID, ICP-AES.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F039  FILTRATION SUR LE TERRAIN, ACIDE, ICP-AES."
1180,404,CALCIUM DISSOLVED,CALCIUM DISSOUS,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10320,"BC MELP EMS CODE: F039  FIELD FILTERED, ACID, ICP-AES.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F039  FILTRATION SUR LE TERRAIN, ACIDE, ICP-AES."
1181,565,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTR,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10320,"BC MELP EMS CODE: F039  FIELD FILTERED, ACID, ICP-AES.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F039  FILTRATION SUR LE TERRAIN, ACIDE, ICP-AES."
1204,731,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORUS TOTAL DISSOUS,PHOSPHORUS,PHOSPHORE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10320,"BC MELP EMS CODE: F039  FIELD FILTERED, ACID, ICP-AES.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F039  FILTRATION SUR LE TERRAIN, ACIDE, ICP-AES."
1205,542,HARDNESS TOTAL (CALCD.) CACO3,DURET TOTALE (CALC.) CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10335,BC MELP EMS CODE: CCAL (EXTRACTABLE).,
1208,364,ALKALINITY TOTAL CACO3,ALCALINIT TOTALE CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10346,BC MELP EMS CODE: 1212 POTENTIOMETRIC TITRATION.,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  1212 TITRAGE POTENTIOMTRIQUE.
1257,511,FLUORIDE TOTAL,FLUORURE TOTAL,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10348,BC MELP EMS CODE: 1341 ION SELECTIVE ELECTRODE.,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  1341 LECTRODE  MEMBRANE SLECTIVE.
1281,363,ALKALINITY GRAN CACO3,ALCALINIT GRAN CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10351,BC MELP EMS CODE: 5062 ELECTRON/GRANS PLOT,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  5062 LECTRON/REPRSENTATION GRAPHIQUE DE GRAN
1285,861,THALLIUM TOTAL,THALLIUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1286,1049,BISMUTH TOTAL,BISMUTH TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1287,576,LITHIUM TOTAL,LITHIUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1288,2725,URANIUM TOTAL,URANIUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1289,519,IRON TOTAL,FER TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1290,2728,SILICON TOTAL,SILICIUM TOTAL,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1291,858,TITANIUM TOTAL,TITANE TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1292,683,LEAD TOTAL,PLOMB TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1293,350,SILVER TOTAL,ARGENT TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1294,373,ALUMINUM TOTAL,ALUMINIUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1295,379,ARSENIC  TOTAL,ARSENIC  TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1296,401,BORON TOTAL,BORE  TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1297,388,BARIUM TOTAL,BARYUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1298,393,BERYLLIUM TOTAL,BRYLLIUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1299,823,STRONTIUM TOTAL,STRONTIUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1300,412,CADMIUM TOTAL,CADMIUM TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1301,456,COBALT TOTAL,COBALT TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1302,463,CHROMIUM TOTAL,CHROME TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1303,470,COPPER  TOTAL,CUIVRE TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
1304,591,MANGANESE TOTAL,MANGANSE TOTAL,METAL,MTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10356,"BC MELP EMS CODE: F033 ACID DIEGESTION, CENTRIFUGED, ICP-MS.","CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE:  F033 DIGESTION ACIDE, CENTRIFUGATION, ICP-MS."
